county,state,state_abbrev,url,jail_name,jail_id,scrape_system,discovered_date,status_code,indicators_found
Hoke,NC,NC,https://hoke-so-nc.zuercherportal.com/#/,Hoke County NC Jail,hoke-so-nc,zuercherportal,2025-07-27,200,['portal']
Pender,NC,NC,https://pender-so-nc.zuercherportal.com/#/,Pender County NC Jail,pender-so-nc,zuercherportal,2025-07-27,200,['portal']
Rutherford,NC,NC,https://rutherford-so-nc.zuercherportal.com/#/,Rutherford County NC Jail,rutherford-so-nc,zuercherportal,2025-07-27,200,['portal']
Ashland,OH,OH,https://ashland-so-oh.zuercherportal.com/#/,Ashland County OH Jail,ashland-so-oh,zuercherportal,2025-07-27,200,['portal']
Williams,ND,ND,https://williams-so-nd.zuercherportal.com/#/,Williams County ND Jail,williams-so-nd,zuercherportal,2025-07-27,200,['portal']
Athens,OH,OH,https://athens-so-oh.zuercherportal.com/#/,Athens County OH Jail,athens-so-oh,zuercherportal,2025-07-27,200,['portal']
Fayette,OH,OH,https://fayette-so-oh.zuercherportal.com/#/,Fayette County OH Jail,fayette-so-oh,zuercherportal,2025-07-27,200,['portal']
Marion,OH,OH,https://marion-so-oh.zuercherportal.com/#/,Marion County OH Jail,marion-so-oh,zuercherportal,2025-07-27,200,['portal']
Medina,OH,OH,https://medina-so-oh.zuercherportal.com/#/,Medina County OH Jail,medina-so-oh,zuercherportal,2025-07-27,200,['portal']
Paulding,OH,OH,https://paulding-so-oh.zuercherportal.com/#/,Paulding County OH Jail,paulding-so-oh,zuercherportal,2025-07-27,200,['portal']
Pickaway,OH,OH,https://pickaway-so-oh.zuercherportal.com/#/,Pickaway County OH Jail,pickaway-so-oh,zuercherportal,2025-07-27,200,['portal']
Pike,OH,OH,https://pike-so-oh.zuercherportal.com/#/,Pike County OH Jail,pike-so-oh,zuercherportal,2025-07-27,200,['portal']
Preble,OH,OH,https://preble-so-oh.zuercherportal.com/#/,Preble County OH Jail,preble-so-oh,zuercherportal,2025-07-27,200,['portal']
Ross,OH,OH,https://ross-so-oh.zuercherportal.com/#/,Ross County OH Jail,ross-so-oh,zuercherportal,2025-07-27,200,['portal']
Scioto,OH,OH,https://scioto-so-oh.zuercherportal.com/#/,Scioto County OH Jail,scioto-so-oh,zuercherportal,2025-07-27,200,['portal']
Shelby,OH,OH,https://shelby-so-oh.zuercherportal.com/#/,Shelby County OH Jail,shelby-so-oh,zuercherportal,2025-07-27,200,['portal']
Cleveland,OK,OK,https://cleveland-so-ok.zuercherportal.com/#/,Cleveland County OK Jail,cleveland-so-ok,zuercherportal,2025-07-27,200,['portal']
Clatsop,OR,OR,https://clatsop-so-or.zuercherportal.com/#/,Clatsop County OR Jail,clatsop-so-or,zuercherportal,2025-07-27,200,['portal']
Cherokee,SC,SC,https://cherokee-so-sc.zuercherportal.com/#/,Cherokee County SC Jail,cherokee-so-sc,zuercherportal,2025-07-27,200,['portal']
Colleton,SC,SC,https://colleton-so-sc.zuercherportal.com/#/,Colleton County SC Jail,colleton-so-sc,zuercherportal,2025-07-27,200,['portal']
Kershaw,SC,SC,https://kershaw-so-sc.zuercherportal.com/#/,Kershaw County SC Jail,kershaw-so-sc,zuercherportal,2025-07-27,200,['portal']
Oconee,SC,SC,https://oconee-so-sc.zuercherportal.com/#/,Oconee County SC Jail,oconee-so-sc,zuercherportal,2025-07-27,200,['portal']
Anderson,SC,SC,https://anderson-so-sc.zuercherportal.com/#/,Anderson County SC Jail,anderson-so-sc,zuercherportal,2025-07-27,200,['portal']
Pickens,SC,SC,https://pickens-so-sc.zuercherportal.com/#/,Pickens County SC Jail,pickens-so-sc,zuercherportal,2025-07-27,200,['portal']
Union,SC,SC,https://union-so-sc.zuercherportal.com/#/,Union County SC Jail,union-so-sc,zuercherportal,2025-07-27,200,['portal']
Williamsburg,SC,SC,https://williamsburg-so-sc.zuercherportal.com/#/,Williamsburg County SC Jail,williamsburg-so-sc,zuercherportal,2025-07-27,200,['portal']
Bennett,SD,SD,https://bennett-so-sd.zuercherportal.com/#/,Bennett County SD Jail,bennett-so-sd,zuercherportal,2025-07-27,200,['portal']
Clay,SD,SD,https://clay-so-sd.zuercherportal.com/#/,Clay County SD Jail,clay-so-sd,zuercherportal,2025-07-27,200,['portal']
Custer,SD,SD,https://custer-so-sd.zuercherportal.com/#/,Custer County SD Jail,custer-so-sd,zuercherportal,2025-07-27,200,['portal']
Davison,SD,SD,https://davison-so-sd.zuercherportal.com/#/,Davison County SD Jail,davison-so-sd,zuercherportal,2025-07-27,200,['portal']
Lake,SD,SD,https://lake-so-sd.zuercherportal.com/#/,Lake County SD Jail,lake-so-sd,zuercherportal,2025-07-27,200,['portal']
Lincoln,SD,SD,https://lincoln-so-sd.zuercherportal.com/#/,Lincoln County SD Jail,lincoln-so-sd,zuercherportal,2025-07-27,200,['portal']
Lawrence,SD,SD,https://lawrence-so-sd.zuercherportal.com/#/,Lawrence County SD Jail,lawrence-so-sd,zuercherportal,2025-07-27,200,['portal']
Marshall,SD,SD,https://marshall-so-sd.zuercherportal.com/#/,Marshall County SD Jail,marshall-so-sd,zuercherportal,2025-07-27,200,['portal']
Lyman,SD,SD,https://lyman-so-sd.zuercherportal.com/#/,Lyman County SD Jail,lyman-so-sd,zuercherportal,2025-07-27,200,['portal']
Meade,SD,SD,https://meade-so-sd.zuercherportal.com/#/,Meade County SD Jail,meade-so-sd,zuercherportal,2025-07-27,200,['portal']
Pennington,SD,SD,https://pennington-so-sd.zuercherportal.com/#/,Pennington County SD Jail,pennington-so-sd,zuercherportal,2025-07-27,200,['portal']
Roberts,SD,SD,https://roberts-so-sd.zuercherportal.com/#/,Roberts County SD Jail,roberts-so-sd,zuercherportal,2025-07-27,200,['portal']
Union,SD,SD,https://union-so-sd.zuercherportal.com/#/,Union County SD Jail,union-so-sd,zuercherportal,2025-07-27,200,['portal']
Sully,SD,SD,https://sully-so-sd.zuercherportal.com/#/,Sully County SD Jail,sully-so-sd,zuercherportal,2025-07-27,200,['portal']
Yankton,SD,SD,https://yankton-so-sd.zuercherportal.com/#/,Yankton County SD Jail,yankton-so-sd,zuercherportal,2025-07-27,200,['portal']
Sullivan,TN,TN,https://sullivan-so-tn.zuercherportal.com/#/,Sullivan County TN Jail,sullivan-so-tn,zuercherportal,2025-07-27,200,['portal']
Washington,TN,TN,https://washington-so-tn.zuercherportal.com/#/,Washington County TN Jail,washington-so-tn,zuercherportal,2025-07-27,200,['portal']
Brooks,TX,TX,https://brooks-so-tx.zuercherportal.com/#/,Brooks County TX Jail,brooks-so-tx,zuercherportal,2025-07-27,200,['portal']
Presidio,TX,TX,https://presidio-so-tx.zuercherportal.com/#/,Presidio County TX Jail,presidio-so-tx,zuercherportal,2025-07-27,200,['portal']
Upshur,TX,TX,https://upshur-so-tx.zuercherportal.com/#/,Upshur County TX Jail,upshur-so-tx,zuercherportal,2025-07-27,200,['portal']
Caroline,VA,VA,https://caroline-so-va.zuercherportal.com/#/,Caroline County VA Jail,caroline-so-va,zuercherportal,2025-07-27,200,['portal']
Northumberland,VA,VA,https://northumberland-so-va.zuercherportal.com/#/,Northumberland County VA Jail,northumberland-so-va,zuercherportal,2025-07-27,200,['portal']
Grant,WI,WI,https://grant-so-wi.zuercherportal.com/#/,Grant County WI Jail,grant-so-wi,zuercherportal,2025-07-27,200,['portal']
Dunn,WI,WI,https://dunn-so-wi.zuercherportal.com/#/,Dunn County WI Jail,dunn-so-wi,zuercherportal,2025-07-27,200,['portal']
Lincoln,WI,WI,https://lincoln-so-wi.zuercherportal.com/#/,Lincoln County WI Jail,lincoln-so-wi,zuercherportal,2025-07-27,200,['portal']
Monroe,WI,WI,https://monroe-so-wi.zuercherportal.com/#/,Monroe County WI Jail,monroe-so-wi,zuercherportal,2025-07-27,200,['portal']
Menominee,WI,WI,https://menominee-so-wi.zuercherportal.com/#/,Menominee County WI Jail,menominee-so-wi,zuercherportal,2025-07-27,200,['portal']
Washburn,WI,WI,https://washburn-so-wi.zuercherportal.com/#/,Washburn County WI Jail,washburn-so-wi,zuercherportal,2025-07-27,200,['portal']
Teton,WY,WY,https://teton-so-wy.zuercherportal.com/#/,Teton County WY Jail,teton-so-wy,zuercherportal,2025-07-27,200,['portal']
